,HaulLat,HaulLong,Year,Distance,BottomDepth,Plastic_Weight
565,54.8056,13.4485,2017,2954,46,0.04
566,54.8058,13.4392,2014,2778,44,0
567,54.8068,13.2077,2013,2821,43,0.012
568,54.8073,13.4348,2015,3261,46,0
569,54.8074,10.2952,2017,3041,31,0
570,54.8077,13.438,2013,2869,45,0
571,54.8084,15.3191,2012,2687,69,0.004
572,54.8094,14.9927,2012,2726,55,0
573,54.8112,13.2948,2016,2828,44,0.004
574,54.8113,15.3204,2013,2848,69,0.012
575,54.812,12.9992,2015,2897,25,0
576,54.8129,14.9607,2015,NA,56,0.002
577,54.8135,14.9583,2015,2809,57,0
578,54.8157,13.4158,2013,2778,45,5
579,54.8186,10.2787,2014,NA,31,0
580,54.8201,10.3001,2015,3187,32,0
581,54.8208,16.0325,2012,2654,52,0
582,54.8216,10.2675,2016,2789,29,0
583,54.8233,18.5233,2016,1501,22,0.06
584,54.8243,16.0355,2013,2895,53,0
585,54.8282,13.2762,2014,2793,44,0
586,54.8293,13.2768,2012,2811,44,0
587,54.83,18.63,2017,3227,31,0.3194
588,54.8308,15.4597,2015,2796,74,0
589,54.8317,18.5133,2017,1620,22,0.0032
590,54.8328,12.6352,2012,2874,19,0
591,54.8333,16.0433,2017,3168,51,0.0912
592,54.8333,16.0467,2017,2595,51,0.1688
593,54.8343,15.6063,2015,2821,83,0
594,54.835,18.5067,2016,2683,20,0
595,54.8365,14.7618,2014,2755,39,0.041
596,54.8376,14.7622,2017,2770,41,0.104
597,54.8379,15.6229,2017,2809,78,0
598,54.8383,15.4582,2017,2795,73,0
599,54.8383,15.9317,2017,2385,65,0.3959
600,54.8385,14.7652,2014,2834,40,0
601,54.8397,10.2149,2013,2378,35,0
602,54.8397,14.7683,2017,2769,41,0
603,54.84,15.6233,2016,2800,78,0
604,54.8406,14.7685,2016,2686,36,0
605,54.8417,16.0567,2016,3028,52,0.344
606,54.8422,15.6443,2016,NA,80,0
607,54.8425,15.6442,2017,NA,82,0.098
608,54.8432,14.771,2013,2673,39,0.68
609,54.8444,14.7651,2016,NA,40,0.022
